CodigoRuta,CodigoAntiguo,Alias de la Ruta,Origen,Destino,EmpresaOperadora,AbreviaturaEmpresa,AsignacionATU
1001,1117,¿?,Santiago de Surco,San Isidro,¿?,,No
1002,1118,¿?,La Punta,La Victoria,¿?,,No
1003,IO33B,"La 9",Puente Piedra,Rímac,Empresa de Transportes Rosa de las Américas S.A.C.,ETROASAC,Sí
1004,1212,Ninguno,Comas,San Martín de Porres,Empresa de Transportes Doce de Junio S.A.,ETDOJUSA,Sí
1005,1217,"La 13",Carabayllo,Rímac,Transportes y Servicios Santa Cruz S.A.,,Sí
1006,1403,"La C",Carabayllo,Ate,Empresa de Transportes Impulsa Progreso S.A.C.,,Sí
1007,1502,"La 87B",Puente Piedra,Lima,Empresa de Transportes y Servicios Amancaes S.A.,ETAMSA,Sí
1008,1503,"La 03",Carabayllo,Magdalena del Mar,"Grupo Express del Perú S.A.C. / Realidad Express del Perú 03 S.A.C.",,Sí
1009,1504,"La 06",Carabayllo,San Miguel,Empresa de Transportes Comercializadora e Importadora Unidos Punchauca S.A.,ETCIPSA,Sí
1010,1505,"La 46B",Puente Piedra,Magdalena del Mar,Empresa de Transportes Mariscal Ramón Castilla S.A.,,Sí
1011,1506,"La 47",Carabayllo,Pueblo Libre,Translima S.A.,,Sí
1012,1508,"La B",Carabayllo,San Miguel,Empresa de Servicios de Transporte Unión Nacional S.A.C.,ESTUNSAC,Sí
1013,1518,"La 18",Carabayllo,Jesús María,Translima S.A.,,Sí
1014,1602,Ninguno,Comas,San Luis,Empresa de Transportes y Servicios Catorce de Diciembre S.A.C.,,Sí
1015,1604,"La MG",Carabayllo,Lince,Empresa de Transportes Miguel Grau S.A.,ETMIGRASA,Sí
1016,1607,Ninguno,Ancón,La Victoria,Empresa de Transportes y Servicios La Buena Estrella S.A.C. / Corporación Las Estrellas S.A.C.,,Sí
1017,1608,Ninguno,Ancón,La Victoria,Novobus S.A.C. / Corporación Las Estrellas S.A.C.,,Sí
1018,1610,Ninguno,Carabayllo,La Victoria,Empresa de Transportes Once de Noviembre S.A.,EMPTONSA,Sí
1019,1611,"La P",Puente Piedra,Magdalena del Mar,Empresa de Transportes Palmari S.A. / Grupo Empresarial El Rápido S.A.,,Sí
1020,1612,"La C",Puente Piedra,Miraflores,Empresa de Transportes Santa Luzmila S.A.,ETSLUSA,Sí
1021,1615,"La F",Carabayllo,Lince,Inversiones y Servicios CKF S.A. / Grupo Empresarial El Rápido S.A.,,Sí
1022,1617,Ninguno,Carabayllo,Miraflores,Trans. Norcom Corporation S.A.C. / Grupo Empresarial El Rápido S.A.,,Sí
1023,1618,"La B",Carabayllo,Lince,Empresa de Transportes y Servicios Nueva América S.A.,TRANSNASA,Sí
1024,2204,"La U - La A - La B - La C",San Martín de Porres,San Martín de Porres,Empresa de Transportes Nor Lima S.A.,ETNOLSA,Sí
1025,2209,"La 73B",San Martín de Porres,Rímac,Empresa de Transportes Unidos de Pasajeros S.A.,ETUPSA,Sí
1026,2212,"La S2",San Martín de Porres,Rímac,Empresa de Transportes Especial Solidaridad S.A.,EMTESSA,Sí
1027,2412,"La 100",Rímac,Ate,Cooperativa de Transporte Comité Cien Ltda.,,Sí
1028,2502,"La B",San Martín de Porres,Lima,Empresa de Transportes y Servicios Pacific International S.A.,ETRASERPISA,Sí
1029,2510,Ninguno,Independencia,San Miguel,Empresa de Transportes Alipio Ponce Vásquez S.A.,ETALPOVASA,Sí
1030,2511,Ninguno,San Martín de Porres,San Martín de Porres,Empresa de Transportes Corazón de Jesús de San Diego S.A.,,Sí
1031,2513,"La 29",San Martín de Porres,Jesús María,Translima S.A.,,Sí
1032,2603,"La A",San Martín de Porres,La Victoria,Empresa de Transportes San Juan de La Cruz S.A.C. / Transportes y Servicios Lima Chorrillos S.A.,TRANSLICSA,Sí
1033,2604,"La C",San Martín de Porres,La Victoria,Empresa de Transportes De Luxe S.A.C.,,Sí
1034,2607,"La 36",Rímac,La Victoria,Empresa Independiente de Transportes S.A.,EITSA,Sí
1035,2608,Ninguno,Rímac,La Victoria,Empresa de Transportes y Servicios Especiales La Bala S.A.,,Sí
1036,2609,Ninguno,Rímac,La Victoria,Empresa de Transporte El Bajopontino S.A.,,Sí
1037,2611,"La B",San Martín de Porres,La Victoria,Transportes y Servicios Lima Chorrillos S.A.,TRANSLICSA,Sí
1038,2613,"La 28 - La 504",San Martín de Porres,Lince,Empresa de Transportes y Servicios El Porvenir S.A.,ETEPSA,Sí
1039,2901,"La 117",Independencia,Callao,Empresa de Transportes y Servicios 117 S.A.,ETSEDISA,Sí
1040,3204,"La SC - La San Ignacio",San Juan de Lurigancho,Rímac,Empresa de Transportes San Ignacio S.A.,ETSISA,Sí
1041,3403/TVE27,Ninguno,San Juan de Lurigancho,Chaclacayo,Empresa de Transporte Santa Rosa de Jicamarca S.A.,ETSRJSA,Sí
1042,3405,"La 75A",San Juan de Lurigancho,Ate,Empresa de Transportes Las Águilas 75 S.A.,ETLA75SA,Sí
