folder,folder_rel,route_id,title,display_id_raw,display_id_source,end1_start,end1_end,end2_start,end2_end,cand_match_type,cand_codigo_nuevo,cand_codigo_antiguo,cand_alias,cand_color_hex,cand_empresa_operadora,cand_distrito_origen,cand_distrito_destino,categoria,ambito_title,codigo_final,usar_en_mapa,es_codigo_nuevo,comentario
route_103829,data/processed/transporte/route_103829,103829,Ruta de autobús IM51 (Lima - Callao) en el mapa de Lima,IM51,title,Terminal Minka,Roger Shuller,Roger Shuller,Terminal Minka,,,,,,,,,Transporte Formal sin Codigo Nuevo,Lima - Callao,IM51,TRUE,,
route_103833,data/processed/transporte/route_103833,103833,Ruta de autobús IM52 (Lima - Callao) en el mapa de Lima,IM52,title,Minka,Los Regadores,Los Regadores,Minka,,,,,,,,,Transporte Formal sin Codigo Nuevo,Lima - Callao,IM52,TRUE,,
route_103834,data/processed/transporte/route_103834,103834,Ruta de autobús IM53 (Lima - Callao) en el mapa de Lima,IM53,title,Terminal Minka,Central,Central,Terminal Minka,,,,,,,,,Transporte Formal sin Codigo Nuevo,Lima - Callao,IM53,TRUE,,
route_103835,data/processed/transporte/route_103835,103835,Ruta de autobús IM42 en el mapa de Lima,IM42,title,Open Plaza,Ayscough,Ayscough,Open Plaza,,,,,,,,,Transporte Formal sin Codigo Nuevo,Lima,IM42,TRUE,,
route_103836,data/processed/transporte/route_103836,103836,Ruta de autobús IO100 (Lima - Callao) en el mapa de Lima,IO100,title,Estados Unidos,Naciones Unidas,Naciones Unidas,Estados Unidos,,,,,,,,,Otros,Lima - Callao,IO100,TRUE,,
route_103837,data/processed/transporte/route_103837,103837,Ruta de autobús EM40 en el mapa de Lima,EM40,title,Alameda,Elías Aguirre,Elías Aguirre,Alameda,,,,,,,,,Otros,Lima,EM40,TRUE,,
route_103838,data/processed/transporte/route_103838,103838,Ruta de autobús EM41 en el mapa de Lima,EM41,title,Huancavelica,Entrada Huampaní (Carapongo),Entrada Huampaní (Carapongo),Huancavelica,,,,,,,,,Otros,Lima,EM41,TRUE,,
route_103839,data/processed/transporte/route_103839,103839,Ruta de autobús EM42 en el mapa de Lima,EM42,title,Zona T,Cooperación Pablo Patrón,Cooperación Pablo Patrón,Zona T,,,,,,,,,Otros,Lima,EM42,TRUE,,
route_103840,data/processed/transporte/route_103840,103840,Ruta de autobús EM43 en el mapa de Lima,EM43,title,Cantoral,Parque Lucinda,Parque Lucinda,Cantoral,,,,,,,,,Otros,Lima,EM43,TRUE,,
route_103841,data/processed/transporte/route_103841,103841,Ruta de autobús EM46 en el mapa de Lima,EM46,title,Calle S/N,Colonial,Colonial,Calle S/N,,,,,,,,,Otros,Lima,EM46,TRUE,,
route_103842,data/processed/transporte/route_103842,103842,Ruta de autobús EM47 en el mapa de Lima,EM47,title,AA.HH Cristo Rey Sector 1,Óvalo San Luis,Óvalo San Luis,AA.HH Cristo Rey Sector 1,,,,,,,,,Otros,Lima,EM47,TRUE,,
route_103843,data/processed/transporte/route_103843,103843,Ruta de autobús EM49 en el mapa de Lima,EM49,title,26 de Mayo,Unanue,Unanue,26 de Mayo,,,,,,,,,Otros,Lima,EM49,TRUE,,
route_105476,data/processed/transporte/route_105476,105476,Ruta de autobús EM53 en el mapa de Lima,EM53,title,Alexander Fleming,Babilonia,Babilonia,Alexander Fleming,,,,,,,,,Otros,Lima,EM53,TRUE,,
route_105477,data/processed/transporte/route_105477,105477,Ruta de autobús EO01 en el mapa de Lima,EO01,title,Primax Bayóvar,Benjamín Franklin,Benjamín Franklin,Primax Bayóvar,,,,,,,,,Otros,Lima,EO01,TRUE,,
route_105478,data/processed/transporte/route_105478,105478,Ruta de autobús NM01 en el mapa de Lima,NM01,title,Santa Rosa de Puente Piedra,Mercado de Frutas,Mercado de Frutas,Santa Rosa de Puente Piedra,,,,,,,,,Otros,Lima,NM01,TRUE,,
route_105513,data/processed/transporte/route_105513,105513,Ruta de autobús EO128 en el mapa de Lima,EO128,title,Surge,Parque Manco Cápac,Parque Manco Cápac,Surge,,,,,,,,,Otros,Lima,EO128,TRUE,,
route_105514,data/processed/transporte/route_105514,105514,Ruta de autobús SM17 en el mapa de Lima,SM17,title,Lima,La Cultura,La Cultura,Lima,,,,,,,,,Otros,Lima,SM17,TRUE,,
route_105515,data/processed/transporte/route_105515,105515,Ruta de autobús IO13 en el mapa de Lima,IO13,title,Óvalo La Perla,Santa María,Santa María,Óvalo La Perla,,,,,,,,,Transporte Formal sin Codigo Nuevo,Lima,IO13,TRUE,,
route_105516,data/processed/transporte/route_105516,105516,Ruta de autobús IO101 en el mapa de Lima,IO101,title,Nuevo Atico,Las Lomas,Las Lomas,Nuevo Atico,,,,,,,,,Otros,Lima,IO101,TRUE,,
route_105517,data/processed/transporte/route_105517,105517,Ruta de autobús IO01 en el mapa de Lima,IO01,title,Izaguirre,José Quiñones,José Quiñones,Izaguirre,,,,,,,,,Transporte Formal sin Codigo Nuevo,Lima,IO01,TRUE,,
route_105518,data/processed/transporte/route_105518,105518,Ruta de autobús IM34A en el mapa de Lima,IM34a,title,La Rivera de San Diego,Hermes,San José,La Rivera de San Diego,,,,,,,,,Otros,Lima,IM34a,TRUE,,
