relation_id,route_key,ref,name,color,n_segments
3778984,3778984,,,#e377c2,54
4193367,4193367,,,#7f7f7f,2
4193500,4193500,,,#bcbd22,2
4224369,X-ECR02-I,X-ECR02-I,X-ECR02-I,#fccde5,128
4224379,X-ECR03-I,X-ECR03-I,X-ECR03-I,#bc80bd,76
4224382,X-ECR05-I,X-ECR05-I,X-ECR05-I,#ccebc5,58
4224390,X-ECR09-I,X-ECR09-I,X-ECR09-I,#a6cee3,107
4224398,X-ECR10-I,X-ECR10-I,X-ECR10-I,#1f78b4,104
4224413,X-ECR13-I,X-ECR13-I,X-ECR13-I,#b2df8a,199
4224422,X-ECR14-I,X-ECR14-I,X-ECR14-I,#33a02c,87
4224455,X-ECR15-I,X-ECR15-I,X-ECR15-I,#fb9a99,159
4226842,X-ECR17-I,X-ECR17-I,X-ECR17-I,#e31a1c,79
4226864,X-ECR18-I,X-ECR18-I,X-ECR18-I,#fdbf6f,188
4227134,X-ECR21-I,X-ECR21-I,X-ECR21-I,#cab2d6,69
4227168,X-ECR22-I,X-ECR22-I,X-ECR22-I,#6a3d9a,139
4227218,X-ECR23-I,X-ECR23-I,X-ECR23-I,#66c2a5,87
4227246,X-ECR24-I,X-ECR24-I,X-ECR24-I,#fc8d62,91
4227339,X-ECR26-I,X-ECR26-I,X-ECR26-I,#8da0cb,189
4227378,X-ECR28-I,X-ECR28-I,X-ECR28-I,#e78ac3,80
4227437,X-ECR31-I,X-ECR31-I,X-ECR31-I,#a6d854,81
4227460,X-ECR32-I,X-ECR32-I,X-ECR32-I,#ffd92f,93
4227527,X-ECR33A-I,X-ECR33A-I,X-ECR33A-I,#e5c494,90
4227549,X-ECR34-I,X-ECR34-I,X-ECR34-I,#b3b3b3,63
4227584,X-ECR35-I,X-ECR35-I,X-ECR35-I,#8c9eff,74
4252750,4252750,,,#17becf,4
4455259,4455259,,,#4e79a7,1
4455850,4455850,,,#f28e2b,2
4466970,X-ICR01-I,X-ICR01-I,X-ICR01-I,#ffab91,49
4467006,X-ICR02-I,X-ICR02-I,X-ICR02-I,#80cbc4,54
4467064,X-ICR02B-I,X-ICR02B-I,X-ICR02B-I,#c5e1a5,81
4467102,X-ICR05-I,X-ICR05-I,X-ICR05-I,#1f77b4,155
4467149,X-ICR06-I,X-ICR06-I,X-ICR06-I,#ff7f0e,76
4467172,X-ICR10-I,X-ICR10-I,X-ICR10-I,#2ca02c,195
4467284,X-ICR13-I,X-ICR13-I,X-ICR13-I,#d62728,186
4467454,X-ICR14-I,X-ICR14-I,X-ICR14-I,#9467bd,205
4467480,4467480,,,#59a14f,186
4467486,X-ICR15-I,X-ICR15-I,X-ICR15-I,#8c564b,141
4511802,CR13_I,,CR13_I,#9c755f,41
4512067,CR14_I,,CR14_I,#bab0ab,115
4512296,CR23_I,,CR23_I,#8dd3c7,3
4521427,IM49_I,,IM49_I,#bebada,1
4521493,IM50_I,,IM50_I,#fb8072,8
4521619,IM50_I,,IM50_I,#fb8072,24
4628682,X-NCR01_I,X-NCR01_I,X-NCR01_I,#e377c2,67
4628724,X-NCR02_I,X-NCR02_I,X-NCR02_I,#7f7f7f,7
4628840,X-NCR04A_I,X-NCR04A_I,X-NCR04A_I,#17becf,47
4628891,X-NCR03_I,X-NCR03_I,X-NCR03_I,#bcbd22,133
4629072,X-NCR04B_I,X-NCR04B_I,X-NCR04B_I,#4e79a7,47
4629099,X-NCR04C_I,X-NCR04C_I,X-NCR04C_I,#f28e2b,35
4629223,X-NCR06_I,X-NCR06_I,X-NCR06_I,#e15759,140
4629224,X-NCR04_I,X-NCR04_I,X-NCR04_I,#59a14f,41
4629367,X-NCR07_I,X-NCR07_I,X-NCR07_I,#76b7b2,149
4629368,X-NCR08_I,X-NCR08_I,X-NCR08_I,#edc948,22
4629534,X-NCR09_I,X-NCR09_I,X-NCR09_I,#b07aa1,134
4631128,X-NCR10_I,X-NCR10_I,X-NCR10_I,#ff9da7,87
4631292,X-NCR12_I,X-NCR12_I,X-NCR12_I,#9c755f,199
4631775,X-NCR13_I,X-NCR13_I,X-NCR13_I,#bab0ab,43
4632207,X-NCR21_I,X-NCR21_I,X-NCR21_I,#8dd3c7,150
4632310,X-NCR23C_I,X-NCR23C_I,X-NCR23C_I,#ffffb3,165
4632850,X-NCR24_I,X-NCR24_I,X-NCR24_I,#fb8072,188
4633039,X-NCR26_I,X-NCR26_I,X-NCR26_I,#80b1d3,17
4633304,X-NCR31_I,X-NCR31_I,X-NCR31_I,#fdb462,87
4634225,X-NCR23E_I,X-NCR23E_I,X-NCR23E_I,#bebada,153
4752919,X-0012-I,X-0012-I,X-0012-I,#b3de69,177
4753094,X-SCR01-I,X-SCR01-I,X-SCR01-I,#fccde5,108
4753569,X-SCR05-I,X-SCR05-I,X-SCR05-I,#1f78b4,61
4753582,X-SCR06-I,X-SCR06-I,X-SCR06-I,#33a02c,85
4753609,X-SCR07-I,X-SCR07-I,X-SCR07-I,#fb9a99,65
4753613,X-SCR08-I,X-SCR08-I,X-SCR08-I,#e31a1c,168
4755318,X-SCR09A-I,X-SCR09A-I,X-SCR09A-I,#ff7f00,44
4755348,X-SCR10-I,X-SCR10-I,X-SCR10-I,#cab2d6,76
4755399,X-SCR11A-I,X-SCR11A-I,X-SCR11A-I,#66c2a5,125
4755484,X-SCR11B-I,X-SCR11B-I,X-SCR11B-I,#fc8d62,73
4755533,X-SCR11-I,X-SCR11-I,X-SCR11-I,#6a3d9a,119
4755580,X-SCR12-I,X-SCR12-I,X-SCR12-I,#8da0cb,56
4756164,X-SCR14B-I,X-SCR14B-I,X-SCR14B-I,#a6d854,50
4756272,X-SCR14-I,X-SCR14-I,X-SCR14-I,#e78ac3,51
4756276,X-SCR15-I,X-SCR15-I,X-SCR15-I,#ffd92f,161
4756288,X-SCR17-I,X-SCR17-I,X-SCR17-I,#e5c494,86
4767031,X-SCR39A-I,X-SCR39A-I,X-SCR39A-I,#e377c2,74
4768961,X-SCR39-I,X-SCR39-I,X-SCR39-I,#8c564b,46
4769404,X-SCR40-I,X-SCR40-I,X-SCR40-I,#7f7f7f,76
4769801,X-SCR41-I,X-SCR41-I,X-SCR41-I,#bcbd22,79
4769819,X-SCR41A-I,X-SCR41A-I,X-SCR41A-I,#17becf,68
4770157,X-SM17-I,X-SM17-I,X-SM17-I,#76b7b2,126
4771213,X-SM18-I,X-SM18-I,X-SM18-I,#edc948,296
4771633,X-SM19A-I,X-SM19A-I,X-SM19A-I,#ff9da7,134
4771753,X-SM19B-I,X-SM19B-I,X-SM19B-I,#9c755f,240
4772575,X-SM19D-I,X-SM19D-I,X-SM19D-I,#8dd3c7,146
4772671,X-SO02-I,X-SO02-I,X-SO02-I,#c5e1a5,186
4773104,X-SM21-I,X-SM21-I,X-SM21-I,#fccde5,107
4773792,X-SM25-I,X-SM25-I,X-SM25-I,#ccebc5,177
4774170,X-SM31-I,X-SM31-I,X-SM31-I,#fb9a99,90
4775280,X-SO91-I,X-SO91-I,X-SO91-I,#a6d854,46
4775380,X-SO58B-I,X-SO58B-I,X-SO58B-I,#ff7f00,61
4775426,X-SO51-I,X-SO51-I,X-SO51-I,#b2df8a,48
4775466,X-SM46A-I,X-SM46A-I,X-SM46A-I,#8c9eff,73
