codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,alias,color_hex
1117,1001,Santiago de Surco,San Isidro,Desconocido,Desconocido,#FFFFFF
1118,1002,La Punta,La Victoria,Desconocido,Desconocido,#004F08
1209,1003,Puente Piedra,Rímac,Empresa de Transportes Rosa de las Américas S.A.C. (ETROASAC),La 9,#FFFFFF
1212,1004,Comas,San Martín de Porres,Empresa de Transportes Doce de Junio S.A. (ETDOJUSA),Ninguno,#FF6417
1217,1005,Carabayllo,Rímac,Transportes y Servicios Santa Cruz S.A.,La 13,#FF0000
1403,1006,Carabayllo,Ate,Empresa de Transportes Impulsa Progreso S.A.C.,La C,#0CB7F2
1502,1007,Puente Piedra,Lima,Empresa de Transportes y Servicios Amancaes S.A. (ETAMSA),La 87B,#FFCD82
1503,1008,Carabayllo,Magdalena del Mar,Grupo Express del Perú S.A.C. (GEP) / Realidad Express del Perú 03 S.A.C. (REX),La 03,#210BA3
1504,1009,Carabayllo,San Miguel,Empresa de Transportes Comercializadora e Importadora Unidos Punchauca S.A. (ETCIPSA),La 06,#762CB9
1505,1010,Puente Piedra,Magdalena del Mar,Empresa de Transportes Mariscal Ramón Castilla S.A. (ETMRCSA),La 46B,#143AB8
1506,1011,Carabayllo,Pueblo Libre,Translima S.A.,La 47,#007DC4
1508,1012,Carabayllo,San Miguel,Empresa de Servicios de Transporte Unión Nacional S.A.C. (ESTUNSAC),La B,#FF0F0F
1518,1013,Carabayllo,Jesús María,Translima S.A.,La 18,#017BA1
1602,1014,Comas,San Luis,Empresa de Transportes y Servicios Catorce de Diciembre S.A.C.,Ninguno,#26913B
1604,1015,Carabayllo,Lince,Empresa de Transportes Miguel Grau S.A. (ETMIGRASA),La MG,#121213
1607,1016,Ancón,La Victoria,Empresa de Transportes y Servicios La Buena Estrella S.A.C. / Corporación Las Estrellas S.A.C.,Ninguno,#0000B3
1608,1017,Ancón,La Victoria,Novobus S.A.C. / Corporación Las Estrellas S.A.C.​,Ninguno,#0000BF
1610,1018,Carabayllo,La Victoria,Empresa de Transportes Once de Noviembre S.A. (EMPTONSA),Ninguno,#56CCA1
1611,1019,Puente Piedra,Magdalena del Mar,Empresa de Transportes Palmari S.A. / Grupo Empresarial El Rápido S.A.,La P,#D10F0F
1612,1020,Puente Piedra,Miraflores,Empresa de Transportes Santa Luzmila S.A. (ETSLUSA),La C,#264720
1615,1021,Carabayllo,Lince​,Inversiones y Servicios CKF S.A. / Grupo Empresarial El Rápido S.A.,La F,#D10F0F
1617,1022,Carabayllo,Miraflores,Trans. Norcom Corporation S.A.C. / Grupo Empresarial El Rápido S.A.,Ninguno,#D10F0F
1618,1023,Carabayllo,Lince,Empresa de Transportes y Servicios Nueva América S.A. (TRANSNASA),La B,#FA8E00
2204,1024,San Martín de Porres,San Martín de Porres,Empresa de Transportes Nor Lima S.A. (ETNOLSA),La U - La A - La B - La C,#00BBFF
2209,1025,San Martín de Porres,Rímac,Empresa de Transportes Unidos de Pasajeros S.A. (ETUPSA),La 73B,#006614
2212,1026,San Martín de Porres,Rímac,Empresa de Transportes Especial Solidaridad S.A. (EMTESSA),La S2,#0F8A01
