codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex,estado
1101,,Carabayllo,Carabayllo,Norcom Corporation,,La 7,#FBF905,Inactiva
1102,,Carabayllo,Carabayllo,Juan Pablo,EMJUPASA,La J,#E60026,Activa
1103,,Carabayllo,Carabayllo,Huandoy,,La 27,#EE1313,Activa
1104,,Puente Piedra,Comas,22 de Octubre de Laderas de Chillón,,Desconocido,#3DA060,Activa
1105,,Puente Piedra,Canta,Turismo Santa Rosita de Quives,,Desconocido,#FFC900,Activa
1106,,Ancón,Carabayllo,Manuel Prado,,El Ancorero - El Trapichero,#F5710C,Activa
1186,,Puente Piedra,Carabayllo,Transmilenio Puente Piedra,ETTRANSPPISA,La CH - La Z,#503737,Activa
1187,,Ancón,Ancón,Multiservicios Villas de Ancón,,Desconocido,#F7F7F7,Inactiva
1188,,Puente Piedra,Carabayllo,Todo Lo Puedo En Cristo,,La Z1,#FFFF00,Activa
1189,,Puente Piedra,Comas,Innova Express,,Desconocido,#B866FF,Inactiva
1198,,Carabayllo,Puente Piedra,Lomas de Zapallal,LODEZA,La Z,#305229,Activa
1201,,Puente Piedra,San Miguel,Rápido Inversiones,RAPISA,La T,#D10F0F,Activa
1202,,Puente Piedra,San Martín de Porres,El Retablo,,Desconocido,#6D378B,Inactiva
1203,,Carabayllo,Rímac,Virgen de Fátima,EVIFASA,La E,#F5F5F5,Inactiva
1204,,Carabayllo,San Martín de Porres,Sindicato de Transportes Sara Sara,,La 90,#F2EB0F,Inactiva
1205,,Puente Piedra,Rímac,Santa Luzmila,ETSLUSA,La C,#226644,Inactiva
1206,,Puente Piedra,San Martín de Porres,Ensenada Chillón,ETECHSA,Desconocido,#3079FA,Activa
1207,,Puente Piedra,Independencia,Doce de Noviembre,TRADNOVISAC,Desconocido,#128205,Inactiva
1208,,Puente Piedra,San Martín de Porres,26 Jilgueros de Los Andes,,La 26,#DE1610,Activa
1209,,Puente Piedra,Rímac,Servicios Urbanos,TRANSUR,La 7,#FFE600,Inactiva
1211/TVE16/TVE52,,Carabayllo,San Juan de Lurigancho,Electri Motors Perú,,El Mandarino,#FF843D,Activa
1212,,Comas,Rímac,Doce de Junio,ETDOJUSA,Desconocido,#FF6417,Inactiva
1213,,Puente Piedra,Rímac,Turismo e Inversiones Señor de La Soledad,SESOSA,La C,#38B6F1,Activa
1214,,Carabayllo,Rímac,Puente Piedra,,La J,#50914C,Inactiva
1215,,Carabayllo,Rímac,Nueva América,TRANSNASA,La B,#B5B5B5,Inactiva
1216,,Carabayllo,Rímac,Especial Solidaridad,EMTESSA,La S3,#009150,Inactiva
1217,,Carabayllo,Rímac,Santa Cruz,,La 13,#FF0000,Activa
1301,,Comas,San Juan de Lurigancho,Doce de Junio,ETDOJUSA,Desconocido,#FF984A,Inactiva
1302,,Carabayllo,El Agustino,Puente Piedra,,La J,#247D30,Inactiva
1303,,Carabayllo,San Juan de Lurigancho,Santa Cruz,,La 13,#FF1F1F,Inactiva
1304,,Carabayllo,San Juan de Lurigancho,Especial Solidaridad,EMTESSA,La S3,#009150,Inactiva
1305,,Carabayllo,San Juan de Lurigancho,Consorcio Gómez,,Desconocido,#1E17EB,Inactiva
1306,,Carabayllo,El Agustino,Puente Piedra,,La J,#6AD068,Inactiva
1307,,¿?,¿?,Desconocido,,Desconocido,#FFFFFF,
1308,,Puente Piedra,San Juan de Lurigancho,Pegasso Express,,La P,#02A9FD,Activa
1401,,Puente Piedra,Ate,Santa Rosa de Lima,ETSRLSA,La 9Z,#1FA61F,Inactiva
1402,,Puente Piedra,Lurigancho/Chosica,Pegasso Express,,Desconocido,#0000FF,Inactiva
1403,,Carabayllo,Ate,Impulsa Progreso,,La C,#0CB7F2,Activa
1404,,Comas,Ate,Virgen de La Puerta,EVIPUSA,La 6M - La Collique,#FF9E00,Activa
1405,,Carabayllo,San Juan de Miraflores,Nor Lima,ETNOLSA,La N,#F22711,Inactiva
1406,,San Martín de Porres,Ate,Roluesa,,Desconocido,#783737,Inactiva
1407,,Carabayllo,Lurigancho/Chosica,Internacional Pamela,ETRINPASA,La V1,#FFAD42,Inactiva
1408,,Carabayllo,Santa Anita,Generales Alfa,,La 02,#002FC9,Inactiva
1409,,Carabayllo,La Molina,Salamanca Parral,ETSPSA,Desconocido,#203D26,Inactiva
