codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex
1117,1001,Santiago de Surco,San Isidro,Desconocido,,Desconocido,#5A6470
1118,1002,La Punta,La Victoria,Desconocido,,Desconocido,#00B212
IO33B,1003,Puente Piedra,Rímac,Rosa de las Américas,ETROASAC,La 9,#5A6470
1212,1004,Comas,San Martín de Porres,Doce de Junio,ETDOJUSA,Ninguno,#FE6317
1217,1005,Carabayllo,La Victoria,Santa Cruz,,La 13,#FF0000
1403,1006,Carabayllo,Ate,Impulsa Progreso,,La C,#0CB7F2
1502,1007,Puente Piedra,Lima,Amancaes,ETAMSA,La 87B,#FFA928
1503,1008,Carabayllo,Magdalena del Mar,Express del Perú,GEP,La 03,#210BA7
1504,1009,Carabayllo,San Miguel,Comercializadora e Importadora Unidos Punchauca,ETCIPSA,La 06,#762BB9
1505,1010,Puente Piedra,Magdalena del Mar,Mariscal Ramón Castilla,ETMRCSA,La 46B,#1439B8
1506,1011,Carabayllo,Pueblo Libre,Translima,,La 47,#007CC4
1508,1012,Carabayllo,San Miguel,Unión Nacional,ESTUNSAC,La B,#FE0F0F
1518,1013,Carabayllo,Jesús María,Translima,,La 18,#0187B1
1602,1014,Comas,San Luis,Catorce de Diciembre,,Ninguno,#26913B
1604,1015,Carabayllo,Lince,Miguel Grau,ETMIGRASA,La MG,#4A5560
1607,1016,Ancón,La Victoria,La Buena Estrella,,Ninguno,#0000B3
1608,1017,Ancón,La Victoria,Novobus,,Ninguno,#0000BF
1610,1018,Carabayllo,La Victoria,Once de Noviembre,EMPTONSA,Ninguno,#55CCA0
1611,1019,Puente Piedra,Magdalena del Mar,Palmari,,La P,#D00F0F
1612,1020,Puente Piedra,Miraflores,Santa Luzmila,ETSLUSA,La C,#417B37
1615,1021,Carabayllo,Lince,CKF,,La F,#D00F0F
1617,1022,Carabayllo,Miraflores,Norcom Corporation,,Ninguno,#D00F0F
1618,1023,Carabayllo,Lince,Nueva América,TRANSNASA,La B,#FA8E00
2204,1024,San Martín de Porres,San Martín de Porres,Nor Lima,ETNOLSA,La U - La A - La B - La C,#00BBFF
2209,1025,San Martín de Porres,Rímac,Unidos de Pasajeros,ETUPSA,La 73B,#00B223
2212,1026,San Martín de Porres,Rímac,Especial Solidaridad,EMTESSA,La S2,#13B101
2412,1027,Rímac,Ate,Comité Cien,,La 60C,#161A9B
2502,1028,San Martín de Porres,Lima,Pacific International,ETRASERPISA,La B,#FFAA00
2510,1029,Independencia,San Miguel,Alipio Ponce Vásquez,ETALPOVASA,Ninguno,#05B200
2511,1030,San Martín de Porres,San Martín de Porres,Corazón de Jesús de San Diego,,Ninguno,#002AD9
2513,1031,San Martín de Porres,Jesús María,Translima,,La 29,#00FFEE
2603,1032,San Martín de Porres,La Victoria,San Juan de La Cruz,,La A,#F70606
2604,1033,San Martín de Porres,La Victoria,Luxe,,La C,#0C17A5
2607,1034,Rímac,La Victoria,Independiente de Transportes,EITSA,La 36,#29B200
2608,1035,Rímac,La Victoria,Especiales La Bala,,Ninguno,#0D25A5
2609,1036,Rímac,La Victoria,El Bajopontino,,Ninguno,#FFA228
2611,1037,San Martín de Porres,La Victoria,Lima Chorrillos,TRANSLICSA,La B,#F20C0C
2613,1038,San Martín de Porres,Lince,El Porvenir,ETEPSA,La 28 - La 504,#29B200
2901,1039,Independencia,Callao,117,ETSEDISA,La 117,#42B587
3204,1040,San Juan de Lurigancho,Rímac,San Ignacio,ETSISA,La SC - La San Ignacio,#0043FF
3403/TVE27,1041,San Juan de Lurigancho,Chaclacayo,Santa Rosa de Jicamarca,ETSRJSA,Ninguno,#E71D1D
3405,1042,San Juan de Lurigancho,Ate,Las Águilas 75,ETLA75SA,La 75A,#FE0F0F
3408,1043,San Juan de Lurigancho,La Molina,Cuarenta Integrada,ETRANCISA,La 40,#9A3E17
3509,1044,San Juan de Lurigancho,Jesús María,104,,La 104,#FE3F0F
3511,1045,San Juan de Lurigancho,Magdalena del Mar,Unidos,ETUSA,La 52C,#90323B
3603,1046,San Juan de Lurigancho,Lince,Transport Sabino,TRANSSABISAC,Ninguno,#18AA08
3604,1047,San Juan de Lurigancho,Miraflores,Santo Cristo de Pachacamilla,ETRASCPSA,La 10A,#7B47A0
3607,1048,San Juan de Lurigancho,Lince,12 de Enero,ETDESA,Ninguno,#DB1111
3611/TVE60,1049,San Juan de Lurigancho,La Victoria,Caminos del Inca,ETCISA,Ninguno,#30A60B
3613,1050,San Juan de Lurigancho,Lince,El Lobito,,La R-I,#FFCC00
3614/TVE68,1051,San Juan de Lurigancho,San Isidro,Unidos,ETUSA,La 52J,#90323B
3701,1052,San Juan de Lurigancho,San Juan de Miraflores,HA de Servicios Múltiples de Propietarios Unidos Huáscar,ETHASEMPUHUASA,La HA,#140FB0
3702,1053,San Juan de Lurigancho,Chorrillos,Sur Lima,,La H,#003CE0
3705,1054,San Juan de Lurigancho,Chorrillos,Urbano Línea 4,ETUL4SA,La E,#E3B03F
3707,1055,San Juan de Lurigancho,Chorrillos,Lima Urban Company,,La 31,#FF0202
3805,1056,San Juan de Lurigancho,Villa El Salvador,Arco Iris,ETSAISA,La P,#B80000
3806,1057,San Juan de Lurigancho,Villa María del Triunfo,Santa Catalina,ESTSACASA,La 23C,#18B200
3807/TVE21,1058,San Juan de Lurigancho,Lurín,Huáscar,,La R28,#D7D820
3809,1059,San Juan de Lurigancho,Villa María del Triunfo,Santa Catalina,ESTSACASA,La 23B,#18B200
3810,1060,San Juan de Lurigancho,Villa María del Triunfo,Ocho,ETSOSA,La 8,#DE1111
3813,1061,San Juan de Lurigancho,Villa El Salvador,Preferencial M1,ETSPM1SA,La M1,#C5FF21
3814,1062,San Juan de Lurigancho,Villa El Salvador,Los Cuatro Suyos,ETCSSA,La M1,#FEF70A
3815,1063,San Juan de Lurigancho,Pachacámac,Los Magníficos,ETYSERMULMASA,La M,#FEB60A
4304,1064,Lurigancho/Chosica,San Juan de Lurigancho,Santa Rosa de Jicamarca,ETSRJSA,La 49,#DB0000
4405,1065,Ate,Ate,Nuevo Horizonte,ETNHOSA,La 91,#001DB2
4502,1066,Huaycán,Lima,Huaycán,ETRANTURHSA,La HCT - El Huaycanero,#C6A461
4503,1067,Santa Anita,Lima,Peralitos,,Ninguno,#FE0F0F
4504,1068,Huaycán,Lima,Nuevo Perú,,La HGK - El Huaycanero,#0801B0
4507,1069,Ricardo Palma,Lima,Nueva Era Señor de Muruhuay,ETSNESMSA,El Chosicano,#1F25FF
4510,1070,Ate,Jesús María,Bronco,ETBRONSA,Ninguno,#9E1414
4511,1071,Ate,Lima,Virgen de Copacabana,MIVICOSAC,La IC,#0758B5
4607,1072,Ate,La Victoria,Unidos San Martín de Porres,ETUSMPSA,Ninguno,#0012BA
4609,1073,Ate,San Isidro,Nuestra Señora del Sagrado Corazón,ETNUSSACSA,La B,#213091
4610,1074,Ate,San Isidro,Miraflores Monterrico,ETMIMSA,La B - La 112,#213191
4611,1075,Lurigancho/Chosica,La Victoria,San Juan Bautista,ETSSJBSA,La 51,#0000B2
4612,1076,Huaycán,La Victoria,Comercialización 14 de Mayo,,Ninguno,#00B20B
4613,1077,Huaycán,La Victoria,Perla de Los Andes,TRASMPERSAC,Ninguno,#00B212
4614,1078,Ate,La Victoria,Sesentitrés,,La 63,#74574D
4618,1079,Ate,La Victoria,Unidos San Martín de Porres,ETUSMPSA,Ninguno,#0012BA
4619,1080,Huaycán,La Victoria,Huaycán,ETRANTURHSA,La HCT - El Huaycanero,#1BBEA4
4620,1081,Huaycán,La Victoria,Urbano Huaycán,,Ninguno,#D61406
