seccion,grupo,ruta,ruta_color,alias,origen,destino,empresa,estado_de_la_ruta
anterior,Rutas 1100,1101,#FBF905,La 7,Carabayllo,Carabayllo,Trans. Norcom Corporation S.A.C. / Empresa de Transportes y Servicios Virgen de Guadalupe S.A. (VIGUSA),Inactiva
anterior,Rutas 1100,1102,#E60026,La J,Carabayllo,Carabayllo,Empresa de Transportes y Servicios Juan Pablo S.A. (EMJUPASA),Activa
anterior,Rutas 1100,1103,#EE1313,La 27,Carabayllo,Carabayllo,Empresa Huandoy S.A.,Activa
anterior,Rutas 1100,1104,#3DA060,Ninguno,Puente Piedra,Comas,Empresa de Transportes y Servicios 22 de Octubre de Laderas de Chillón S.A.,Activa
anterior,Rutas 1100,1105,#FFC900,Ninguno,Puente Piedra,Canta,Empresa de Transportes y Turismo Santa Rosita de Quives S.A.,Activa
anterior,Rutas 1100,1106,#F5710C,El Ancorero - El Trapichero,Ancón,Carabayllo,Empresa de Transporte y Turismos Especiales Manuel Prado S.A. / Empresa de Transportes Saeta S.A.C. ​,Activa
anterior,Rutas 1100,1186,#503737,La CH - La Z,Puente Piedra,Carabayllo,Empresa de Transportes Transmilenio Puente Piedra S.A. (ETTRANSPPISA),Activa
anterior,Rutas 1100,1187,#F7F7F7,Ninguno,Ancón,Ancón,Empresa de Multiservicios Villas de Ancón S.A.,Inactiva
anterior,Rutas 1100,1188,#FFFF00,La Z1,Puente Piedra,Carabayllo,Empresa de Transportes Todo Lo Puedo En Cristo S.A.C.,Activa
anterior,Rutas 1100,1189,#B866FF,Ninguno,Puente Piedra,Comas,Empresa de Transportes Innova Express S.A.,Inactiva
anterior,Rutas 1100,1198,#305229,La Z,Carabayllo,Puente Piedra,Empresa de Transportes y Servicios Múltiples Lomas de Zapallal S.A. (LODEZA),Activa
anterior,Rutas 1200,1201 ​,#D10F0F,La T,Puente Piedra,San Miguel,Rápido Inversiones S.A. (RAPISA) / Grupo Empresarial El Rápido S.A.,Activa
anterior,Rutas 1200,1202,#6D378B,Ninguno,Puente Piedra,San Martín de Porres,Empresa de Transportes y Servicios El Retablo S.A.C.,Inactiva
anterior,Rutas 1200,1203,#F5F5F5,La E,Carabayllo,Rímac,Empresa Virgen de Fátima S.A. (EVIFASA),Inactiva
anterior,Rutas 1200,1204,#F2EB0F,La 90,Carabayllo,San Martín de Porres,Sindicato de Transportes Sara Sara S.A.,Inactiva
anterior,Rutas 1200,1205,#226644,La C,Puente Piedra,Rímac,Empresa de Transportes Santa Luzmila S.A. (ETSLUSA),Inactiva
anterior,Rutas 1200,1206,#3079FA,Ninguno,Puente Piedra,San Martín de Porres,Empresa de Transportes Ensenada Chillón S.A. (ETECHSA),Activa
anterior,Rutas 1200,1207,#128205,Ninguno,Puente Piedra,Independencia,Transportes Doce de Noviembre S.A.C. (TRADNOVISAC),Inactiva
anterior,Rutas 1200,1208,#DE1610,La 26,Puente Piedra,San Martín de Porres,Empresa de Transportes 26 Jilgueros de Los Andes S.A.C.,Activa
anterior,Rutas 1200,1209,#FFE600,La 7,Puente Piedra,Rímac,Empresa de Transportes de Servicios Urbanos S.A. (TRANSUR),Inactiva
anterior,Rutas 1200,1210,#FFFFFF,Ruta no licitada.,,,,
anterior,Rutas 1200,1211 / TVE16 / TVE52,#FF843D,El Mandarino,Carabayllo,San Juan de Lurigancho,Electri Motors Perú S.A.C. / Multidestinos Mandarino S.A.C.,Activa
anterior,Rutas 1200,1212,#FF6417,Ninguno,Comas,Rímac,Empresa de Transportes Doce de Junio S.A. (ETDOJUSA),Inactiva
anterior,Rutas 1200,1213,#38B6F1,La C,Puente Piedra,Rímac,Empresa de Transportes Turismo e Inversiones Señor de La Soledad S.A. (SESOSA),Activa ​
anterior,Rutas 1200,1214,#50914C,La J,Carabayllo,Rímac,Empresa de Transportes Puente Piedra S.A.,Inactiva
anterior,Rutas 1200,1215,#B5B5B5,La B,Carabayllo,Rímac,Empresa de Transportes y Servicios Nueva América S.A. (TRANSNASA),Inactiva
anterior,Rutas 1200,1216,#009150,La S3,Carabayllo,Rímac,Empresa de Transportes Especial Solidaridad S.A. (EMTESSA),Inactiva
anterior,Rutas 1200,1217,#FF0000,La 13,Carabayllo,Rímac,Transportes y Servicios Santa Cruz S.A.,Activa
anterior,Rutas 1300,1301,#FF984A,Ninguno,Comas,San Juan de Lurigancho,Empresa de Transportes Doce de Junio S.A. (ETDOJUSA),Inactiva
anterior,Rutas 1300,1302,#247D30,La J,Carabayllo,El Agustino,Empresa de Transportes Puente Piedra S.A.,Inactiva
anterior,Rutas 1300,1303,#FF1F1F,La 13,Carabayllo,San Juan de Lurigancho,Transportes y Servicios Santa Cruz S.A.,Inactiva
anterior,Rutas 1300,1304,#009150,La S3,Carabayllo,San Juan de Lurigancho,Empresa de Transportes Especial Solidaridad S.A. (EMTESSA),Inactiva
anterior,Rutas 1300,1305,#1E17EB,Ninguno,Carabayllo,San Juan de Lurigancho,Consorcio Gómez S.A.,Inactiva
anterior,Rutas 1300,1306,#6AD068,La J,Carabayllo,El Agustino,Empresa de Transportes Puente Piedra S.A.,Inactiva
anterior,Rutas 1300,1307,#FFFFFF,Ninguno,¿?,¿?,¿?,¿?
anterior,Rutas 1300,1308 ​ ​,#02A9FD,La P,Puente Piedra,San Juan de Lurigancho,Empresa de Transportes Pegasso Express S.A.,Activa ​
anterior,Rutas 1400,1401,#1FA61F,La 9Z,Puente Piedra,Ate,Empresa de Transportes y Servicios Santa Rosa de Lima S.A. (ETSRLSA),Inactiva
anterior,Rutas 1400,1402,#0000FF,Ninguno,Puente Piedra,Lurigancho/Chosica,Empresa de Transportes Pegasso Express S.A.,Inactiva
anterior,Rutas 1400,1403,#0CB7F2,La C,Carabayllo,Ate,Empresa de Transportes Impulsa Progreso S.A.C.,Activa
anterior,Rutas 1400,1404 ​,#FF9E00,La 6M - La Collique,Comas,Ate,Empresa de Transportes Virgen de La Puerta S.A. (EVIPUSA),Activa
anterior,Rutas 1400,1405,#F22711,La N,Carabayllo,San Juan de Miraflores,Empresa de Transportes Nor Lima S.A. (ETNOLSA),Inactiva
anterior,Rutas 1400,1406,#783737,Ninguno,San Martín de Porres,Ate,Empresa de Transportes Roluesa S.A.C.,Inactiva
anterior,Rutas 1400,1407,#FFAD42,La V1,Carabayllo,Lurigancho/Chosica,Empresa de Transportes Internacional Pamela S.A. (ETRINPASA),Inactiva
anterior,Rutas 1400,1408,#002FC9,La 02,Carabayllo,Santa Anita,Empresa de Transportes y Servicios Generales Alfa S.A.,Inactiva
anterior,Rutas 1400,1409 ​,#203D26,Ninguno,Carabayllo,La Molina,Empresa de Transportes Salamanca Parral S.A. (ETSPSA),Inactiva
anterior,Rutas 1400,1410 ​,#2E39C9,Ninguno,Carabayllo,La Molina,Empresa de Transportes Castro Fuentes S.A. (KEVJIDSA),Inactiva
anterior,Rutas 1400,1411,#002FC9,La 02,Carabayllo,Ate,Transportes Cruz del Centro S.A.,Activa
anterior,Rutas 1400,1412,#02A9FD,La E,Carabayllo,Ate,Empresa de Transportes La Encantada S.A.,Activa
anterior,Rutas 1500,1501,#FF1212,Ninguno,Puente Piedra,San Miguel,Empresa de Transportes Inversiones y Servicios San Felipe S.A. (ETISSFESA),Activa
anterior,Rutas 1500,1502,#FFCD82,La 87B,Puente Piedra,Lima,Empresa de Transportes y Servicios Amancaes S.A. (ETAMSA),Activa
anterior,Rutas 1500,1503,#210BA3,La 03,Carabayllo,Magdalena del Mar,Grupo Express del Perú S.A.C. (GEP) / Realidad Express del Perú 03 S.A.C. (REX),Activa
anterior,Rutas 1500,1504,#762CB9,La 06,Carabayllo,Pueblo Libre,Empresa de Transportes Comercializadora e Importadora Unidos Punchauca S.A. (ETCIPSA),Activa
anterior,Rutas 1500,1505,#143AB8,La 46B,Puente Piedra,Magdalena del Mar,Empresa de Transportes Mariscal Ramón Castilla S.A. (ETMRCSA),Activa
anterior,Rutas 1500,1506,#007DC4,La 47,Carabayllo,Pueblo Libre,Translima S.A.,Activa
anterior,Rutas 1500,1507,#FFFF00,El Anconero,Ancón,Lima,Empresa de Transportes El Anconero S.A.C. (EMTEANSAC),Inactiva
anterior,Rutas 1500,1508,#FF0F0F,La B,Carabayllo,San Miguel,Empresa de Servicios de Transporte Unión Nacional S.A.C. (ESTUNSAC),Activa
anterior,Rutas 1500,1509,#FF0F0F,La B,Carabayllo,Magdalena del Mar,Empresa de Transportes y Multiservicios Nueva Imagen S.A. (ETYMUNISA),Inactiva
anterior,Rutas 1500,1510,#7CBEF7,Ninguno,Carabayllo,Jesús María,Translima S.A.,Inactiva
anterior,Rutas 1500,1511,#1E7376,La O,Puente Piedra,San Miguel,Consorcio Vía S.A.C.,Activa
anterior,Rutas 1500,1512,#2E39C9,Ninguno,Carabayllo,San Miguel,Empresa de Transportes Castro Fuentes S.A. (KEVJIDSA),Inactiva
anterior,Rutas 1500,1513,#F22711,La N - La F,Carabayllo,Magdalena del Mar,Empresa de Transportes Nor Lima S.A. (ETNOLSA) / Grupo Empresarial El Rápido S.A.,Activa
anterior,Rutas 1500,1514,#F21000,La JC,Carabayllo,San Miguel,J.C. Bus S.A.C. / Grupo Empresarial El Rápido S.A.,Activa
anterior,Rutas 1500,1515,#A62999,La P1,Carabayllo,Magdalena del Mar,Empresa de Transportes Palmari S.A.,Inactiva
anterior,Rutas 1500,1516,#140099,La 41 - La Cocharcas,Puente Piedra,Jesús María,Empresa de Transportes José Leal Cocharcas S.A. (ETJLCSA),Inactiva
anterior,Rutas 1500,1517,#BABABA,Ninguno,Ancón,Jesús María,Empresa de Transportes Turismo e Inversiones Señor de La Soledad S.A. (SESOSA),Inactiva
anterior,Rutas 1500,1518,#017BA1,La 18,Carabayllo,Jesús María,Translima S.A.,Activa
anterior,Rutas 1500,1519,#E1963C,La B,Carabayllo,San Miguel,Empresa de Transportes y Servicios Nueva América S.A. (TRANSNASA),Inactiva
anterior,Rutas 1600,1601,#D1CCC0,Ninguno,Comas,San Luis,Empresa de Transportes y Servicios Túpac Amaru S.A.C. (ETSETASAC),Inactiva
anterior,Rutas 1600,1602,#26913B,Ninguno,Comas,San Luis,Empresa de Transportes y Servicios Catorce de Diciembre S.A.C.,Activa
anterior,Rutas 1600,1603,#BABABA,Ninguno,Puente Piedra,San Luis,Empresa de Transportes Turismo e Inversiones Señor de La Soledad S.A. (SESOSA),Inactiva
anterior,Rutas 1600,1604,#121213,La MG,Carabayllo,Lince,Empresa de Transportes Miguel Grau S.A. (ETMIGRASA),Activa
anterior,Rutas 1600,1605,#BDBDBD,Ninguno,Ancón,Jesús María,Empresa de Transportes Turismo e Inversiones Señor de La Soledad S.A. (SESOSA),Inactiva
