sequence,direction,stop_id,stop_name,stop_url,lat,lon
1,,1304157,,https://wikiroutes.info/es/stops/1304157,,
2,,1073627,,https://wikiroutes.info/es/stops/1073627,,
3,,1304195,,https://wikiroutes.info/es/stops/1304195,,
4,,1303487,,https://wikiroutes.info/es/stops/1303487,,
5,,1050613,,https://wikiroutes.info/es/stops/1050613,,
6,,1050610,,https://wikiroutes.info/es/stops/1050610,,
7,,1466962,,https://wikiroutes.info/es/stops/1466962,,
8,,1466961,,https://wikiroutes.info/es/stops/1466961,,
9,,991540,,https://wikiroutes.info/es/stops/991540,,
10,,760621,,https://wikiroutes.info/es/stops/760621,,
11,,760622,,https://wikiroutes.info/es/stops/760622,,
12,,760623,,https://wikiroutes.info/es/stops/760623,,
13,,1050599,,https://wikiroutes.info/es/stops/1050599,,
14,,867853,,https://wikiroutes.info/es/stops/867853,,
15,,1121076,,https://wikiroutes.info/es/stops/1121076,,
16,,760628,,https://wikiroutes.info/es/stops/760628,,
17,,760629,,https://wikiroutes.info/es/stops/760629,,
18,,760630,,https://wikiroutes.info/es/stops/760630,,
19,,760631,,https://wikiroutes.info/es/stops/760631,,
20,,737626,,https://wikiroutes.info/es/stops/737626,,
21,,737627,,https://wikiroutes.info/es/stops/737627,,
22,,739327,,https://wikiroutes.info/es/stops/739327,,
23,,739328,,https://wikiroutes.info/es/stops/739328,,
24,,739329,,https://wikiroutes.info/es/stops/739329,,
25,,828159,,https://wikiroutes.info/es/stops/828159,,
26,,828160,,https://wikiroutes.info/es/stops/828160,,
27,,828161,,https://wikiroutes.info/es/stops/828161,,
28,,828162,,https://wikiroutes.info/es/stops/828162,,
29,,828164,,https://wikiroutes.info/es/stops/828164,,
30,,828165,,https://wikiroutes.info/es/stops/828165,,
31,,828173,,https://wikiroutes.info/es/stops/828173,,
32,,828174,,https://wikiroutes.info/es/stops/828174,,
33,,828175,,https://wikiroutes.info/es/stops/828175,,
34,,828176,,https://wikiroutes.info/es/stops/828176,,
35,,828177,,https://wikiroutes.info/es/stops/828177,,
36,,828178,,https://wikiroutes.info/es/stops/828178,,
37,,828179,,https://wikiroutes.info/es/stops/828179,,
38,,828180,,https://wikiroutes.info/es/stops/828180,,
39,,828181,,https://wikiroutes.info/es/stops/828181,,
40,,828182,,https://wikiroutes.info/es/stops/828182,,
41,,828183,,https://wikiroutes.info/es/stops/828183,,
42,,828184,,https://wikiroutes.info/es/stops/828184,,
43,,828185,,https://wikiroutes.info/es/stops/828185,,
44,,828186,,https://wikiroutes.info/es/stops/828186,,
45,,814980,,https://wikiroutes.info/es/stops/814980,,
46,,814981,,https://wikiroutes.info/es/stops/814981,,
47,,814982,,https://wikiroutes.info/es/stops/814982,,
48,,814983,,https://wikiroutes.info/es/stops/814983,,
49,,814984,,https://wikiroutes.info/es/stops/814984,,
50,,814985,,https://wikiroutes.info/es/stops/814985,,
51,,814986,,https://wikiroutes.info/es/stops/814986,,
52,,814987,,https://wikiroutes.info/es/stops/814987,,
53,,991690,,https://wikiroutes.info/es/stops/991690,,
