ref_raw,route_code,old_code,match_source,match_method,alias,origen,destino,empresa,color,id,title,ref,name,route_code_base,family_ok
,,,,,,,,,#555555,3778984,,,,,True
,,,,,,,,,#555555,4193367,,,,,True
,,,,,,,,,#555555,4193500,,,,,True
X-ECR02-I,,CR02,rutas_anteriores.csv,old_only,,Callao,Santiago de Surco,Empresa de Transportes Miraflores Monterrico S.A. (ETMIMSA),#1932B0,4224369,CR02,CR02,X-ECR02-I,CR02,True
X-ECR03-I,,,,,,,,,#555555,4224379,CR03,CR03,X-ECR03-I,CR03,True
X-ECR05-I,,CR05,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Multiservicios Ovni S.A. (ETMOSA),#FFE605,4224382,CR05,CR05,X-ECR05-I,CR05,True
X-ECR09-I,1135,CR09,rutas.csv,old_code,,Callao,Lima,,#555555,4224390,1135,1135,X-ECR09-I,CR09,True
X-ECR10-I,1136,CR10,rutas.csv,old_code,,Callao,Lima,,#555555,4224398,1136,1136,X-ECR10-I,CR10,True
X-ECR13-I,,CR13,rutas_anteriores.csv,old_only,,San Martín de Porres,San Miguel,Empresa Modelo de Transporte Latinoamérica S.A.,#0D06C4,4224413,CR13,CR13,X-ECR13-I,CR13,True
X-ECR14-I,,CR14,rutas_anteriores.csv,old_only,,Callao,Santiago de Surco,Transportes Hogar Tours S.A.C.,#D43434,4224422,CR14,CR14,X-ECR14-I,CR14,True
X-ECR15-I,,CR15,rutas_anteriores.csv,old_only,,Carabayllo,San Miguel,Empresa de Transportes y Servicios San Antonio S.A.,#690000,4224455,CR15,CR15,X-ECR15-I,CR15,True
X-ECR17-I,1138,CR17,rutas.csv,old_code,,Carabayllo,San Miguel,,#555555,4226842,1138,1138,X-ECR17-I,CR17,True
X-ECR18-I,,,,,,,,,#555555,4226864,CR18,CR18,X-ECR18-I,CR18,True
X-ECR21-I,,CR21,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Ijecorpjyl S.A.,#DFFF12,4227134,CR21,CR21,X-ECR21-I,CR21,True
X-ECR22-I,,CR22,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Toro S.R.L.,#E81C1C,4227168,CR22,CR22,X-ECR22-I,CR22,True
X-ECR23-I,,CR23,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes y Servicios Múltiples San Martín de Porres S.A.C. (ETSAMPSAC),#FFCC26,4227218,CR23,CR23,X-ECR23-I,CR23,True
X-ECR24-I,,CR24,rutas_anteriores.csv,old_only,,Ventanilla,Ate,Empresa de Transportes Servicio y Comercialización Expreso Santa Anita S.A.,#000E8C,4227246,CR24,CR24,X-ECR24-I,CR24,True
X-ECR26-I,,,,,,,,,#555555,4227339,CR26,CR26,X-ECR26-I,CR26,True
X-ECR28-I,,CR28,rutas_anteriores.csv,old_only,,Callao,Callao,Empresa de Transportes Rosario de Santa María S.A.C. (ETROSMASAC),#050087,4227378,CR28,CR28,X-ECR28-I,CR28,True
X-ECR31-I,1141,CR31,rutas.csv,old_code,,Callao,Santiago de Surco,,#555555,4227437,1141,1141,X-ECR31-I,CR31,True
X-ECR32-I,1142,CR32,rutas.csv,old_code,,Ventanilla,Lima,,#555555,4227460,1142,1142,X-ECR32-I,CR32,True
X-ECR33A-I,,,,,,,,,#555555,4227527,CR33A,CR33A,X-ECR33A-I,CR33A,True
X-ECR34-I,,CR34,rutas_anteriores.csv,old_only,,Ventanilla,Jesús María,Empresa de Servicios y Transportes Inversiones Comas Express S.A. (ESTICOSA),#0E3608,4227549,CR34,CR34,X-ECR34-I,CR34,True
X-ECR35-I,,CR35,rutas_anteriores.csv,old_only,,Ventanilla,Ventanilla,Empresa de Servicio de Transporte Lima Ventanilla Turismo S.A.C. (LIVENTUR),#136919,4227584,CR35,CR35,X-ECR35-I,CR35,True
,,,,,,,,,#555555,4252750,,,,,True
,,,,,,,,,#555555,4455259,,,,,True
,,,,,,,,,#555555,4455850,,,,,True
X-ICR01-I,,IM01,rutas_anteriores.csv,old_only,,La Punta,Carabayllo,Empresa de Transportes Elpa Tours S.A.C.,#81FF6E,4466970,ICR01,ICR01,X-ICR01-I,ICR01,True
X-ICR02-I,,,,,,,,,#555555,4467006,ICR02,ICR02,X-ICR02-I,ICR02,True
X-ICR02B-I,1156,ICR02B,rutas.csv,old_code,,Callao,Lima,,#555555,4467064,1156,1156,X-ICR02B-I,ICR02B,True
X-ICR05-I,,ICR05,rutas_anteriores.csv,old_only,,Callao,Carabayllo,Empresa de Transportes y Servicios Nueva América S.A. (TRANSNASA),#6B6B6B,4467102,ICR05,ICR05,X-ICR05-I,ICR05,True
X-ICR06-I,,IPC06,rutas_anteriores.csv,old_only,,Callao,Callao,Consorcio Grupo Uvita S.A.C.,#391170,4467149,ICR06,ICR06,X-ICR06-I,ICR06,True
X-ICR10-I,,IM10,rutas_anteriores.csv,old_only,,San Martín de Porres,San Juan de Lurigancho,Empresa de Transportes y Servicios El Pegaso S.A. (ETIPESA),#5C774E,4467172,ICR10,ICR10,X-ICR10-I,ICR10,True
X-ICR13-I,,IM13,rutas_anteriores.csv,old_only,,San Juan de Miraflores,Callao,Empresa de Transporte Rubén Marca S.A. (RUMASA),#FCF8C2,4467284,ICR13,ICR13,X-ICR13-I,ICR13,True
X-ICR14-I,,IM14,rutas_anteriores.csv,old_only,,Ventanilla,La Victoria,Empresa de Transportes y Servicios Virgen de La Puerta S.A. (VIPUSA),#0ABF16,4467454,ICR14,ICR14,X-ICR14-I,ICR14,True
,,,,,,,,,#555555,4467480,,,,,True
X-ICR15-I,,IM15,rutas_anteriores.csv,old_only,,Callao,Ate,Empresa de Transportes Servicios y Turismo Eureks S.A.C.,#FFFFF1,4467486,ICR15,ICR15,X-ICR15-I,ICR15,True
CR13_I,,CR13,rutas_anteriores.csv,old_only,,San Martín de Porres,San Miguel,Empresa Modelo de Transporte Latinoamérica S.A.,#0D06C4,4511802,CR13,CR13,CR13_I,CR13,True
CR14_I,,CR14,rutas_anteriores.csv,old_only,,Callao,Santiago de Surco,Transportes Hogar Tours S.A.C.,#D43434,4512067,CR14,CR14,CR14_I,CR14,True
CR23_I,,CR23,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes y Servicios Múltiples San Martín de Porres S.A.C. (ETSAMPSAC),#FFCC26,4512296,CR23,CR23,CR23_I,CR23,True
IM49_I,,IM49,rutas_anteriores.csv,old_only,,Callao,Cieneguilla,Empresa de Transporte Urbano El Molinero Express S.A. (ETRUMESA),#0D7FBF,4521427,ICR49,ICR49,IM49_I,ICR49,True
IM50_I,,IM50,rutas_anteriores.csv,old_only,,Callao,Independencia,Empresa de Transportes y Servicios 117 S.A. (ETSEDISA),#43B587,4521493,ICR50,ICR50,IM50_I,ICR50,True
IM50_I,,IM50,rutas_anteriores.csv,old_only,,Callao,Independencia,Empresa de Transportes y Servicios 117 S.A. (ETSEDISA),#43B587,4521619,ICR50,ICR50,IM50_I,ICR50,True
X-NCR01_I,,,,,,,,,#555555,4628682,CR01,CR01,X-NCR01_I,CR01,True
X-NCR02_I,,CR02,rutas_anteriores.csv,old_only,,Callao,Santiago de Surco,Empresa de Transportes Miraflores Monterrico S.A. (ETMIMSA),#1932B0,4628724,CR02,CR02,X-NCR02_I,CR02,True
X-NCR04A_I,,,,,,,,,#555555,4628840,CR04A,CR04A,X-NCR04A_I,CR04A,True
X-NCR03_I,,,,,,,,,#555555,4628891,CR03,CR03,X-NCR03_I,CR03,True
X-NCR04B_I,,,,,,,,,#555555,4629072,CR04B,CR04B,X-NCR04B_I,CR04B,True
X-NCR04C_I,,,,,,,,,#555555,4629099,CR04C,CR04C,X-NCR04C_I,CR04C,True
X-NCR06_I,,,,,,,,,#555555,4629223,CR06,CR06,X-NCR06_I,CR06,True
X-NCR04_I,1133,CR04,rutas.csv,old_code,,La Punta,Lima,,#555555,4629224,1133,1133,X-NCR04_I,CR04,True
X-NCR07_I,1134,CR07,rutas.csv,old_code,,Callao,La Perla,,#555555,4629367,1134,1134,X-NCR07_I,CR07,True
X-NCR08_I,,,,,,,,,#555555,4629368,CR08,CR08,X-NCR08_I,CR08,True
X-NCR09_I,1135,CR09,rutas.csv,old_code,,Callao,Lima,,#555555,4629534,1135,1135,X-NCR09_I,CR09,True
X-NCR10_I,1136,CR10,rutas.csv,old_code,,Callao,Lima,,#555555,4631128,1136,1136,X-NCR10_I,CR10,True
X-NCR12_I,1137,CR12,rutas.csv,old_code,,Carabayllo,La Victoria,,#555555,4631292,1137,1137,X-NCR12_I,CR12,True
X-NCR13_I,,CR13,rutas_anteriores.csv,old_only,,San Martín de Porres,San Miguel,Empresa Modelo de Transporte Latinoamérica S.A.,#0D06C4,4631775,CR13,CR13,X-NCR13_I,CR13,True
X-NCR21_I,,CR21,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Ijecorpjyl S.A.,#DFFF12,4632207,CR21,CR21,X-NCR21_I,CR21,True
X-NCR23C_I,,,,,,,,,#555555,4632310,CR23C,CR23C,X-NCR23C_I,CR23C,True
X-NCR24_I,,CR24,rutas_anteriores.csv,old_only,,Ventanilla,Ate,Empresa de Transportes Servicio y Comercialización Expreso Santa Anita S.A.,#000E8C,4632850,CR24,CR24,X-NCR24_I,CR24,True
X-NCR26_I,,,,,,,,,#555555,4633039,CR26,CR26,X-NCR26_I,CR26,True
X-NCR31_I,1141,CR31,rutas.csv,old_code,,Callao,Santiago de Surco,,#555555,4633304,1141,1141,X-NCR31_I,CR31,True
X-NCR23E_I,,CR23,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes y Servicios Múltiples San Martín de Porres S.A.C. (ETSAMPSAC),#FFCC26,4634225,CR23,CR23,X-NCR23E_I,CR23,True
X-0012-I,,,,,,,,,#555555,4752919,0012,0012,X-0012-I,0012,True
X-SCR01-I,,,,,,,,,#555555,4753094,CR01,CR01,X-SCR01-I,CR01,True
X-SCR05-I,,CR05,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Multiservicios Ovni S.A. (ETMOSA),#FFE605,4753569,CR05,CR05,X-SCR05-I,CR05,True
X-SCR06-I,,,,,,,,,#555555,4753582,CR06,CR06,X-SCR06-I,CR06,True
X-SCR07-I,1134,CR07,rutas.csv,old_code,,Callao,La Perla,,#555555,4753609,1134,1134,X-SCR07-I,CR07,True
X-SCR08-I,,,,,,,,,#555555,4753613,CR08,CR08,X-SCR08-I,CR08,True
X-SCR09A-I,,,,,,,,,#555555,4755318,CR09A,CR09A,X-SCR09A-I,CR09A,True
X-SCR10-I,1136,CR10,rutas.csv,old_code,,Callao,Lima,,#555555,4755348,1136,1136,X-SCR10-I,CR10,True
X-SCR11A-I,,,,,,,,,#555555,4755399,CR11A,CR11A,X-SCR11A-I,CR11A,True
X-SCR11B-I,,,,,,,,,#555555,4755484,CR11B,CR11B,X-SCR11B-I,CR11B,True
X-SCR11-I,,,,,,,,,#555555,4755533,CR11,CR11,X-SCR11-I,CR11,True
X-SCR12-I,1137,CR12,rutas.csv,old_code,,Carabayllo,La Victoria,,#555555,4755580,1137,1137,X-SCR12-I,CR12,True
X-SCR14B-I,,,,,,,,,#555555,4756164,CR14B,CR14B,X-SCR14B-I,CR14B,True
X-SCR14-I,,CR14,rutas_anteriores.csv,old_only,,Callao,Santiago de Surco,Transportes Hogar Tours S.A.C.,#D43434,4756272,CR14,CR14,X-SCR14-I,CR14,True
X-SCR15-I,,CR15,rutas_anteriores.csv,old_only,,Carabayllo,San Miguel,Empresa de Transportes y Servicios San Antonio S.A.,#690000,4756276,CR15,CR15,X-SCR15-I,CR15,True
X-SCR17-I,1138,CR17,rutas.csv,old_code,,Carabayllo,San Miguel,,#555555,4756288,1138,1138,X-SCR17-I,CR17,True
X-SCR39A-I,,,,,,,,,#555555,4767031,CR39A,CR39A,X-SCR39A-I,CR39A,True
X-SCR39-I,,CR39,rutas_anteriores.csv,old_only,,Callao,Santiago de Surco,Consorcio Angamos,#FFF019,4768961,CR39,CR39,X-SCR39-I,CR39,True
X-SCR40-I,1144,CR40,rutas.csv,old_code,,Callao,Lima,,#555555,4769404,1144,1144,X-SCR40-I,CR40,True
X-SCR41-I,,CR41,rutas_anteriores.csv,old_only,,Mi Perú,Lima,Empresa de Servicio de Transporte Lima Ventanilla Turismo S.A.C. (LIVENTUR),#136919,4769801,CR41,CR41,X-SCR41-I,CR41,True
X-SCR41A-I,,,,,,,,,#555555,4769819,CR41A,CR41A,X-SCR41A-I,CR41A,True
X-SM17-I,,,,,,,,,#555555,4770157,SM17,SM17,X-SM17-I,SM17,False
X-SM18-I,,,,,,,,,#555555,4771213,SM18,SM18,X-SM18-I,SM18,False
X-SM19A-I,,,,,,,,,#555555,4771633,SM19A,SM19A,X-SM19A-I,SM19A,False
X-SM19B-I,,,,,,,,,#555555,4771753,SM19B,SM19B,X-SM19B-I,SM19B,False
X-SM19D-I,,,,,,,,,#555555,4772575,SM19D,SM19D,X-SM19D-I,SM19D,False
X-SO02-I,,,,,,,,,#555555,4772671,SO02,SO02,X-SO02-I,SO02,False
X-SM21-I,,,,,,,,,#555555,4773104,SM21,SM21,X-SM21-I,SM21,False
X-SM25-I,,,,,,,,,#555555,4773792,SM25,SM25,X-SM25-I,SM25,False
X-SM31-I,,,,,,,,,#555555,4774170,SM31,SM31,X-SM31-I,SM31,False
X-SO91-I,,,,,,,,,#555555,4775280,SO91,SO91,X-SO91-I,SO91,False
X-SO58B-I,,,,,,,,,#555555,4775380,SO58B,SO58B,X-SO58B-I,SO58B,False
X-SO51-I,,,,,,,,,#555555,4775426,SO51,SO51,X-SO51-I,SO51,False
X-SM46A-I,,,,,,,,,#555555,4775466,SM46A,SM46A,X-SM46A-I,SM46A,False
X-SM37-I,,,,,,,,,#555555,4775558,SM37,SM37,X-SM37-I,SM37,False
X-SO25-I,,,,,,,,,#555555,4775629,SO25,SO25,X-SO25-I,SO25,False
X-SCR42-I,,CR42,rutas_anteriores.csv,old_only,,Independencia,Bellavista,Empresa de Transportes Rápido Correcaminos S.A. (ETRACCSA),#AAFF54,4775660,CR42,CR42,X-SCR42-I,CR42,True
X-SO64C-I,,,,,,,,,#555555,4775684,SO64C,SO64C,X-SO64C-I,SO64C,False
X-SO64B-I,,,,,,,,,#555555,4775697,SO64B,SO64B,X-SO64B-I,SO64B,False
X-SM46B-I,,,,,,,,,#555555,4775722,SM46B,SM46B,X-SM46B-I,SM46B,False
X-SM46-I,,,,,,,,,#555555,4775756,SM46,SM46,X-SM46-I,SM46,False
X-SCR26-I,,,,,,,,,#555555,4779932,CR26,CR26,X-SCR26-I,CR26,True
,,,,,,,,,#555555,4782800,,,,,True
X-SCR09-I,1135,CR09,rutas.csv,old_code,,Callao,Lima,,#555555,4782801,1135,1135,X-SCR09-I,CR09,True
X-SCR05B-I,,,,,,,,,#555555,4782884,CR05B,CR05B,X-SCR05B-I,CR05B,True
X-SCR04-I,1133,CR04,rutas.csv,old_code,,La Punta,Lima,,#555555,4783001,1133,1133,X-SCR04-I,CR04,True
X-SCR31-I,1141,CR31,rutas.csv,old_code,,Callao,Santiago de Surco,,#555555,4783074,1141,1141,X-SCR31-I,CR31,True
X-SCR04A-I,,,,,,,,,#555555,4783120,CR04A,CR04A,X-SCR04A-I,CR04A,True
X-SO55C-I,,,,,,,,,#555555,4783207,SO55C,SO55C,X-SO55C-I,SO55C,False
X-SCR33-I,,,,,,,,,#555555,4783229,CR33,CR33,X-SCR33-I,CR33,True
X-SO10-I,,,,,,,,,#555555,4783262,SO10,SO10,X-SO10-I,SO10,False
X-SCR01A-I,,,,,,,,,#555555,4783278,CR01A,CR01A,X-SCR01A-I,CR01A,True
X-SO67A-I,,,,,,,,,#555555,4783284,SO67A,SO67A,X-SO67A-I,SO67A,False
X-OO08-I,,,,,,,,,#555555,4783285,OO08,OO08,X-OO08-I,OO08,False
X-SCR30-I,1140,CR30,rutas.csv,old_code,,Callao,Lima,,#555555,4783555,1140,1140,X-SCR30-I,CR30,True
X-SCR21-I,,CR21,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Ijecorpjyl S.A.,#DFFF12,4784109,CR21,CR21,X-SCR21-I,CR21,True
X-SO67B-I,,,,,,,,,#555555,4784177,SO67B,SO67B,X-SO67B-I,SO67B,False
X-SO51A-I,,,,,,,,,#555555,4784229,SO51A,SO51A,X-SO51A-I,SO51A,False
X-SO50-I,,,,,,,,,#555555,4784272,SO50,SO50,X-SO50-I,SO50,False
X-SCR22-I,,CR22,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Toro S.R.L.,#E81C1C,4784553,CR22,CR22,X-SCR22-I,CR22,True
X-SCR35-I,,CR35,rutas_anteriores.csv,old_only,,Ventanilla,Ventanilla,Empresa de Servicio de Transporte Lima Ventanilla Turismo S.A.C. (LIVENTUR),#136919,4784970,CR35,CR35,X-SCR35-I,CR35,True
X-SRC36-I,,,,,,,,,#555555,4785137,SRC36,SRC36,X-SCR36-I,SRC36,False
X-SCR38-I,1143,CR38,rutas.csv,old_code,,Callao,Santiago de Surco,,#555555,4785175,1143,1143,X-SCR38-I,CR38,True
X-SO71-I,,,,,,,,,#555555,4785186,SO71,SO71,X-SO71-I,SO71,False
X-SM19E-I,,,,,,,,,#555555,4785209,SM19,SM19,X-SM19E-I,SM19,False
,,,,,,,,,#555555,4787549,,,,,True
,,,,,,,,,#555555,4789418,,,,,True
X-SO39-I,,,,,,,,,#555555,4789971,SO39,SO39,X-SO39-I,SO39,False
X-SO94-I,,,,,,,,,#555555,4790541,SO94,SO94,X-SO94-I,SO94,False
X-SCR38A-X,,,,,,,,,#555555,4793441,CR38A,CR38A,X-SCR38A-I,CR38A,True
